index,Model,features,CNF2OBDD-avg,CNF2OBDD-med,CNF2OBDD-stdev,cudd-avg,cudd-med,cudd-stdev,buddy-avg,buddy-med,buddy-stdev,c2d-avg,c2d-med,c2d-stdev,d4-avg,d4-med,d4-stdev,dsharp-avg,dsharp-med,dsharp-stdev,minic2d-avg,minic2d-med,minic2d-stdev,sdd-avg,sdd-med,sdd-stdev,zsdd-avg,zsdd-med,zsdd-stdev,cnf2eadt-avg,cnf2eadt-med,cnf2eadt-stdev
1,Smarch/LLVM.dimacs,11,0.004753164,0.004769276,0.000143008,1000,1000,0,1000,1000,0,1000,1000,0,0.03481648,0.035324221,0.004210442,0.011060805,0.011103957,0.000381617,0.0896705061197281,0.0897764451801777,0.000677782936973019,0.013677303,0.013109362,0.004558933,0.28010471,0.280356566,0.00840958,0.00218395888805389,0.00221486296504736,4.43754077516207E-05
2,Smarch/X264.dimacs,16,0.004817106,0.004831951,0.000117527,1000,1000,0,1000,1000,0,0.037126912,0.037367065,0.003170513,0.038908595,0.038849119,0.002422024,0.010193979,0.010757943,0.00125759,0.11964698843658,0.11961436830461,0.00256383429259823,0.028957924,0.027949589,0.005345821,0.493845993,0.490203611,0.009894268,0.00241325199604034,0.00244091637432575,7.76721761979536E-05
3,Smarch/Dune.dimacs,17,0.00460148,0.004617542,0.00021975,0.0128,0.013,0.002675818,0.046,0.048,0.004312772,0.050251042,0.050297127,0.005853636,0.032806149,0.031682719,0.004289596,0.011022098,0.011123322,0.001370868,0.136809058859944,0.138170829042792,0.00501616377307143,0.04261931,0.042632169,0.000874068,1000,1000,0,0.00253811329603195,0.00249710492789745,6.93506701766595E-05
4,Smarch/BerkeleyDBC.dimacs,18,0.004760223,0.004841208,0.000249639,1000,1000,0,1000,1000,0,0.065913443,0.063910587,0.005050063,0.036185126,0.035964502,0.004465577,0.010881996,0.010583404,0.001482198,0.155119919404387,0.15133093111217,0.00728923624854285,0.070203524,0.067065512,0.010093167,0.546975003,0.548852345,0.003463265,0.00220467522740364,0.00228173844516277,0.000188648363926757
5,Smarch/lrzip.dimacs,20,0.003934174,0.003941979,0.000685388,0.0799,0.077,0.011440717,0.1086,0.1195,0.028720028,0.065828695,0.067046892,0.004135637,0.040960144,0.042046702,0.002252393,0.011748305,0.011421323,0.002482264,0.140736657381058,0.136491987854242,0.00775205282751396,0.115911314,0.116745208,0.00240447,0.613984409,0.608057379,0.011824558,0.00238661859184504,0.00228690821677446,0.000572822616909345
6,Smarch/HiPAcc.dimacs,31,0.015862037,0.016463642,0.001715416,0.2608,0.2635,0.013496666,0.3187,0.331,0.028203014,0.242034572,0.237332572,0.018556771,0.032244332,0.030887781,0.003942885,0.010783008,0.010425321,0.001105017,0.322371009364724,0.327350076287985,0.0219384269476084,0.30712016,0.304504884,0.01417048,0.672680995,0.669878233,0.007699269,0.00580994114279747,0.00600777100771666,0.000749815817724941
7,Smarch/JavaGC.dimacs,39,0.005016617,0.005041713,0.000176158,0.1596,0.1615,0.009748846,0.1828,0.192,0.045829685,0.293466917,0.288637226,0.01378419,0.037075128,0.037224249,0.004220426,0.010373669,0.010506768,0.001272426,0.381341341137886,0.375339441001415,0.0160183375845347,0.217360845,0.208095444,0.013008184,0.68745793,0.682750523,0.011202799,0.00305803921073675,0.00325580313801765,0.000172182967208237
8,Smarch/Polly.dimacs,40,0.004839057,0.004831782,0.000115717,0.1811,0.185,0.016452659,0.2004,0.215,0.040696929,0.289676191,0.284794497,0.013087366,0.039887748,0.038617438,0.002094858,0.01153962,0.011456951,0.001085851,0.388793535530567,0.400124782696366,0.0200910400627791,0.221204832,0.224081013,0.006773796,0.682013345,0.680713485,0.007787779,0.00308165829628706,0.00316423643380404,0.000210197960110243
9,Smarch/VP9.dimacs,42,0.005006491,0.005040722,0.000121511,0.2527,0.2615,0.017515993,0.1977,0.2165,0.038178659,0.312421187,0.312465576,0.003930159,0.039184636,0.03876249,0.001462296,0.010790683,0.010510853,0.001304218,0.402459420263767,0.400231229141355,0.00763142899347752,0.281720575,0.279254026,0.008646142,0.686743693,0.681091019,0.010937969,0.00336126144975424,0.00331660266965628,0.000104681638387263
10,Smarch/7z.dimacs,44,0.004958655,0.004948354,0.000552488,0.8758,0.8865,0.03487922,0.7844,0.7915,0.051738187,0.246273032,0.23817419,0.02875079,0.039223758,0.040614475,0.003913702,0.011828598,0.011185382,0.001816366,0.312616624310613,0.308409074321389,0.0373890923754998,0.395300279,0.384002042,0.015180889,0.792373559,0.785681128,0.013144554,0.00349319092929363,0.00363690033555031,0.000466597944360329
